"No."  ,"Time"           ,"Source"        ,"Destination"   ,"Protocol","Length","Info"
"16989","02:24:25.154416","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52519 [ACK] Seq=544500 Ack=6569 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"16990","02:24:25.154417","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52519 [ACK] Seq=545960 Ack=6569 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"16991","02:24:25.154476","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52519  >  3478 [ACK] Seq=6569 Ack=544500 Win=65535 Len=0"
"16992","02:24:25.154524","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52519  >  3478 [ACK] Seq=6569 Ack=547420 Win=65535 Len=0"
"16993","02:24:25.154748","10.224.168.94" ,"10.140.212.198","TCP"     ,"1060"  ,"3478  >  52519 [PSH, ACK] Seq=547420 Ack=6569 Win=29200 Len=1006 [TCP segment of a reassembled PDU]"
"16994","02:24:25.154798","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52519  >  3478 [ACK] Seq=6569 Ack=548426 Win=65535 Len=0"
"16995","02:24:25.172447","10.140.212.198","10.224.168.94" ,"TCP"     ,"1152"  ,"52522  >  3478 [PSH, ACK] Seq=547150 Ack=10395 Win=65535 Len=1098 [TCP segment of a reassembled PDU]"
"16996","02:24:25.172526","10.140.212.198","10.224.168.94" ,"TCP"     ,"1152"  ,"52522  >  3478 [PSH, ACK] Seq=548248 Ack=10395 Win=65535 Len=1098 [TCP segment of a reassembled PDU]"
"16997","02:24:25.172555","10.140.212.198","10.224.168.94" ,"TCP"     ,"1152"  ,"52522  >  3478 [PSH, ACK] Seq=549346 Ack=10395 Win=65535 Len=1098 [TCP segment of a reassembled PDU]"
"16998","02:24:25.172651","10.140.212.198","10.224.168.94" ,"TCP"     ,"1152"  ,"52522  >  3478 [PSH, ACK] Seq=550444 Ack=10395 Win=65535 Len=1098 [TCP segment of a reassembled PDU]"
"16999","02:24:25.172662","10.140.212.198","10.224.168.94" ,"TCP"     ,"1152"  ,"52522  >  3478 [PSH, ACK] Seq=551542 Ack=10395 Win=65535 Len=1098 [TCP segment of a reassembled PDU]"
"17000","02:24:25.172669","10.140.212.198","10.224.168.94" ,"TCP"     ,"1152"  ,"52522  >  3478 [PSH, ACK] Seq=552640 Ack=10395 Win=65535 Len=1098 [TCP segment of a reassembled PDU]"
"17001","02:24:25.172688","10.140.212.198","10.224.168.94" ,"TCP"     ,"1152"  ,"52522  >  3478 [PSH, ACK] Seq=553738 Ack=10395 Win=65535 Len=1098 [TCP segment of a reassembled PDU]"
"17002","02:24:25.173948","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52522 [ACK] Seq=10395 Ack=549346 Win=65134 Len=0"
"17003","02:24:25.174118","10.224.168.94" ,"10.140.212.198","TCP"     ,"1152"  ,"3478  >  52519 [PSH, ACK] Seq=548426 Ack=6569 Win=29200 Len=1098 [TCP segment of a reassembled PDU]"
"17004","02:24:25.174181","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52519  >  3478 [ACK] Seq=6569 Ack=549524 Win=65535 Len=0"
"17005","02:24:25.174780","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52522 [ACK] Seq=10395 Ack=551542 Win=65134 Len=0"
"17006","02:24:25.174782","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52522 [ACK] Seq=10395 Ack=553738 Win=65134 Len=0"
"17007","02:24:25.174912","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52519 [ACK] Seq=549524 Ack=6569 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"17008","02:24:25.175212","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52519 [ACK] Seq=550984 Ack=6569 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"17009","02:24:25.175247","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52519  >  3478 [ACK] Seq=6569 Ack=552444 Win=65535 Len=0"
"17010","02:24:25.175409","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52519 [ACK] Seq=552444 Ack=6569 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"17011","02:24:25.175412","10.224.168.94" ,"10.140.212.198","TCP"     ,"66"    ,"3478  >  52519 [PSH, ACK] Seq=553904 Ack=6569 Win=29200 Len=12 [TCP segment of a reassembled PDU]"
